N,종목명,현재가,전일비,등락률,액면가,시가,고가,저가
1393.0,KODEX Fn시스템반도체,8600.0,25.0,-0.29%,0.0,8610.0,8620.0,8480.0
1394.0,코오롱우,15940.0,50.0,+0.31%,5000.0,15890.0,15950.0,15780.0
1395.0,삼성 S&P500 VIX S/T 선물 ETN,17120.0,240.0,-1.38%,0.0,16960.0,17185.0,16960.0
1396.0,TIGER 우량가치,11390.0,135.0,+1.20%,0.0,11300.0,11390.0,11300.0
1397.0,신한 코스피 200 ETN,8540.0,15.0,-0.18%,0.0,8550.0,8550.0,8530.0
1398.0,KODEX 보험,7620.0,20.0,+0.26%,0.0,7600.0,7620.0,7560.0
1399.0,삼양홀딩스우,55100.0,400.0,-0.72%,5000.0,55500.0,55500.0,54700.0
1400.0,마이티 다이나믹퀀트액티브,11630.0,40.0,-0.34%,0.0,11610.0,11655.0,11600.0
1401.0,미래에셋 S&P 유럽탄소배출권 선물 ETN,16580.0,480.0,+2.98%,0.0,16580.0,16580.0,16580.0
1402.0,에이리츠,3675.0,190.0,+5.45%,5000.0,3480.0,3700.0,3365.0
1403.0,KBSTAR 200선물인버스,5850.0,5.0,+0.09%,0.0,5870.0,5870.0,5840.0
1404.0,메리츠 블룸버그 인버스 2X WTI선물 ETN(H),16370.0,50.0,+0.31%,0.0,16310.0,16380.0,16210.0
1405.0,ARIRANG ESG성장주액티브,8165.0,25.0,+0.31%,0.0,8180.0,8180.0,8115.0
1406.0,QV 레버리지 구리 선물 ETN(H),16170.0,0.0,0.00%,0.0,16170.0,16170.0,16170.0
1407.0,메리츠 인버스 2X 금 선물 ETN(H),16145.0,495.0,+3.16%,0.0,16310.0,16310.0,16145.0
1408.0,FOCUS KRX300,16140.0,30.0,-0.19%,0.0,16140.0,16140.0,16140.0
1409.0,삼성 레버리지 구리 선물 ETN(H),16140.0,245.0,-1.50%,0.0,16015.0,16145.0,15880.0
1410.0,TIGER 일본엔선물,9490.0,30.0,-0.32%,0.0,9530.0,9530.0,9460.0
1411.0,메리츠 S&P 유럽탄소배출권 선물 ETN,16105.0,30.0,-0.19%,0.0,16070.0,16120.0,16070.0
1412.0,KOSEF 미국달러선물레버리지,11835.0,190.0,+1.63%,0.0,11715.0,11905.0,11715.0
1413.0,TIGER 유로스탁스배당30,11495.0,50.0,+0.44%,0.0,11440.0,11495.0,11415.0
1414.0,TRUE FTSE100 ETN,16090.0,100.0,+0.63%,0.0,16050.0,16300.0,16050.0
1415.0,HANARO Fn K-게임,5190.0,20.0,-0.38%,0.0,5215.0,5240.0,5135.0
